asset_id,longitude,latitude,taxonomy,num_buildings,built_up_area,structural_replacement_cost,structural_retrofit_cost,structural_insurance_limit,structural_insurance_deductible,nonstructural_replacement_cost,nonstructural_retrofit_cost,nonstructural_insurance_limit,nonstructural_insurance_deductible,contents_replacement_cost,contents_retrofit_cost,contents_insurance_limit,contents_insurance_deductible,downtime_cost,downtime_insurance_limit,downtime_insurance_deductible,day_occupants,night_occupants,transit_occupants
122,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-3-T-F-F-F-T,2334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,60,36
123,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-4-T-F-F-F-T,992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,80,48
124,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-5-T-F-F-F-T,172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,100,60
125,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-6-T-F-F-F-T,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,120,72
126,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-7-T-F-F-F-T,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,140,84
127,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-8-T-F-F-F-T,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,160,96
128,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-9-T-F-F-F-T,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,180,108
129,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-10-T-F-F-F-T,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,200,120
130,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-1-F-F-F-F-T,31211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,20,12
131,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-2-F-F-F-F-T,17938,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,40,24
132,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-3-F-F-F-F-T,7956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,60,36
133,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-4-F-F-F-F-T,3384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,80,48
134,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-5-F-F-F-F-T,586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,100,60
135,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-6-F-F-F-F-T,158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,120,72
136,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-7-F-F-F-F-T,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,140,84
137,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-8-F-F-F-F-T,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,160,96
138,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-9-F-F-F-F-T,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,180,108
139,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-10-F-F-F-F-T,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,200,120
140,36.384140213282812,31.590441955554439,JOR-MURsimplestone-1-T-F-F-F-T,51165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
141,36.384140213282812,31.590441955554439,JOR-MURsimplestone-2-T-F-F-F-T,59248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
142,36.384140213282812,31.590441955554439,JOR-MURsimplestone-3-T-F-F-F-T,18980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
143,36.384140213282812,31.590441955554439,JOR-MURsimplestone-4-T-F-F-F-T,10345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
144,36.384140213282812,31.590441955554439,JOR-MURsimplestone-5-T-F-F-F-T,7407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,15
145,36.384140213282812,31.590441955554439,JOR-MURsimplestone-6-T-F-F-F-T,1865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,30,18
146,36.384140213282812,31.590441955554439,JOR-MURsimplestone-7-T-F-F-F-T,464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,35,21
147,36.384140213282812,31.590441955554439,JOR-MURsimplestone-8-T-F-F-F-T,115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,40,24
148,36.384140213282812,31.590441955554439,JOR-MURsimplestone-9-T-F-F-F-T,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,45,27
149,36.384140213282812,31.590441955554439,JOR-MURsimplestone-10-T-F-F-F-T,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,30
150,36.384140213282812,31.590441955554439,JOR-MURsimplestone-1-F-F-F-F-T,22871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
151,36.384140213282812,31.590441955554439,JOR-MURsimplestone-2-F-F-F-F-T,26484,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
152,36.384140213282812,31.590441955554439,JOR-MURsimplestone-3-F-F-F-F-T,8484,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
153,36.384140213282812,31.590441955554439,JOR-MURsimplestone-4-F-F-F-F-T,4624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
